#Iron Template Spectrum
#Wavelength (A)  Flux  Uncertainty (10^-15 erg/s/cm^2/A) 
#
#
4000    0.02977    0.00744
4002    0.05271    0.01186
4004    0.07097    0.01471
4006    0.07227    0.01531
4008    0.05746    0.01307
4010    0.03941    0.01097
4012    0.02834    0.01134
4014    0.02479    0.01614
4016    0.02387    0.02097
4018    0.02116    0.02188
4020    0.01596    0.01729
4022    0.01073    0.01132
4024    0.00791    0.00740
4026    0.00886    0.00536
4028    0.01569    0.00622
4030    0.03058    0.00874
4032    0.05023    0.01187
4034    0.06363    0.01419
4036    0.06135    0.01381
4038    0.04627    0.01148
4040    0.02934    0.00850
4042    0.01749    0.00571
4044    0.01093    0.00467
4046    0.00874    0.00454
4048    0.01240    0.00494
4050    0.02474    0.00580
4052    0.04526    0.00810
4054    0.06534    0.01097
4056    0.07339    0.01283
4058    0.06861    0.01250
4060    0.06389    0.01088
4062    0.06996    0.01182
4064    0.08131    0.01562
4066    0.08334    0.01722
4068    0.07049    0.01427
4070    0.05122    0.01060
4072    0.03576    0.00746
4074    0.02674    0.00509
4076    0.02221    0.00479
4078    0.02091    0.00431
4080    0.02280    0.00420
4082    0.02776    0.00527
4084    0.03518    0.00674
4086    0.04397    0.00889
4088    0.05253    0.01060
4090    0.05901    0.01236
4092    0.06182    0.01417
4094    0.06016    0.01428
4096    0.05439    0.01261
4098    0.04587    0.00980
4100    0.03652    0.00784
4102    0.02835    0.00632
4104    0.02316    0.00552
4106    0.02313    0.00556
4108    0.03285    0.00657
4110    0.06034    0.00937
4112    0.10964    0.01488
4114    0.16679    0.02237
4116    0.20285    0.02655
4118    0.20453    0.02665
4120    0.19205    0.02709
4122    0.19254    0.02457
4124    0.21117    0.02417
4126    0.23917    0.02415
4128    0.26531    0.02397
4130    0.26956    0.02306
4132    0.23413    0.02170
4134    0.16943    0.01867
4136    0.10618    0.01497
4138    0.06341    0.01177
4140    0.04107    0.01005
4142    0.03536    0.00955
4144    0.04458    0.00994
4146    0.06176    0.01155
4148    0.07280    0.01280
4150    0.06780    0.01234
4152    0.05064    0.00902
4154    0.03269    0.00658
4156    0.02087    0.00520
4158    0.01598    0.00538
4160    0.01822    0.00756
4162    0.02938    0.01138
4164    0.05094    0.01213
4166    0.08285    0.00921
4168    0.12599    0.01027
4170    0.18582    0.01164
4172    0.26843    0.01077
4174    0.36708    0.01289
4176    0.45572    0.01193
4178    0.50184    0.01453
4180    0.48853    0.01767
4182    0.42630    0.01439
4184    0.34192    0.01245
4186    0.25700    0.01219
4188    0.18289    0.01097
4190    0.12654    0.01144
4192    0.08837    0.01340
4194    0.06165    0.01275
4196    0.04142    0.00992
4198    0.02918    0.00791
4200    0.02813    0.00778
4202    0.03772    0.00883
4204    0.05133    0.01067
4206    0.05850    0.01195
4208    0.05317    0.01192
4210    0.03915    0.00944
4212    0.02491    0.00644
4214    0.01509    0.00467
4216    0.00958    0.00378
4218    0.00772    0.00398
4220    0.01094    0.00408
4222    0.02306    0.00551
4224    0.04924    0.00809
4226    0.09460    0.01022
4228    0.16512    0.01323
4230    0.26566    0.01222
4232    0.38288    0.01109
4234    0.47115    0.01327
4236    0.48322    0.01207
4238    0.42376    0.01168
4240    0.34858    0.01323
4242    0.30598    0.01486
4244    0.29619    0.01242
4246    0.28700    0.01300
4248    0.25571    0.01052
4250    0.21048    0.01224
4252    0.17427    0.00916
4254    0.15974    0.01104
4256    0.16474    0.01115
4258    0.17968    0.00967
4260    0.19129    0.01089
4262    0.18888    0.01104
4264    0.17410    0.00898
4266    0.15959    0.00727
4268    0.15600    0.00746
4270    0.16423    0.00904
4272    0.17895    0.01120
4274    0.19419    0.01212
4276    0.20557    0.01314
4278    0.21116    0.01240
4280    0.21270    0.01114
4282    0.21566    0.00873
4284    0.22690    0.00735
4286    0.25002    0.01095
4288    0.28265    0.01389
4290    0.32049    0.01191
4292    0.36381    0.01183
4294    0.41463    0.01501
4296    0.46582    0.01310
4298    0.50229    0.01498
4300    0.51805    0.01386
4302    0.52071    0.01467
4304    0.51353    0.01573
4306    0.48928    0.01682
4308    0.44901    0.01772
4310    0.40912    0.01815
4312    0.38202    0.01830
4314    0.36266    0.01844
4316    0.33826    0.01893
4318    0.30334    0.01514
4320    0.26304    0.01424
4322    0.22785    0.01407
4324    0.20689    0.01184
4326    0.19987    0.01090
4328    0.19328    0.01382
4330    0.17169    0.01676
4332    0.13455    0.01440
4334    0.09562    0.01077
4336    0.06704    0.00833
4338    0.05195    0.00782
4340    0.05114    0.00966
4342    0.06950    0.01248
4344    0.11278    0.01715
4346    0.18019    0.02185
4348    0.26428    0.02250
4350    0.35656    0.02568
4352    0.44376    0.02672
4354    0.50144    0.03515
4356    0.50995    0.04834
4358    0.47576    0.06417
4360    0.42043    0.07998
4362    0.35707    0.08745
4364    0.29373    0.07759
4366    0.24611    0.05815
4368    0.23066    0.04545
4370    0.24851    0.03133
4372    0.27971    0.02454
4374    0.29494    0.01936
4376    0.28118    0.01683
4378    0.25761    0.01515
4380    0.25958    0.01474
4382    0.30472    0.01287
4384    0.37384    0.01125
4386    0.42363    0.01241
4388    0.42351    0.01217
4390    0.38366    0.01127
4392    0.34183    0.01026
4394    0.32363    0.00961
4396    0.32421    0.01279
4398    0.32528    0.01140
4400    0.31665    0.01004
4402    0.29899    0.00990
4404    0.27591    0.01022
4406    0.25136    0.00982
4408    0.23372    0.01067
4410    0.23765    0.01085
4412    0.27580    0.01194
4414    0.34202    0.01205
4416    0.40378    0.00919
4418    0.42219    0.01096
4420    0.38538    0.01200
4422    0.31509    0.01047
4424    0.24066    0.00927
4426    0.17821    0.00878
4428    0.13409    0.00778
4430    0.11106    0.00767
4432    0.10445    0.00875
4434    0.10206    0.01004
4436    0.09587    0.00953
4438    0.09124    0.00792
4440    0.10063    0.00747
4442    0.12848    0.00796
4444    0.16501    0.01046
4446    0.19602    0.01068
4448    0.21584    0.00991
4450    0.22617    0.00998
4452    0.22619    0.01006
4454    0.21365    0.00853
4456    0.19476    0.00818
4458    0.18348    0.00810
4460    0.18991    0.00777
4462    0.21453    0.00770
4464    0.25172    0.00777
4466    0.29388    0.00757
4468    0.33291    0.01081
4470    0.36125    0.01248
4472    0.37344    0.01259
4474    0.36682    0.01062
4476    0.34196    0.01004
4478    0.30420    0.00939
4480    0.26494    0.00816
4482    0.24069    0.00891
4484    0.24874    0.01087
4486    0.29809    0.01055
4488    0.37745    0.00932
4490    0.45353    0.00962
4492    0.49054    0.01017
4494    0.47612    0.01170
4496    0.42751    0.01373
4498    0.37490    0.01285
4500    0.34181    0.01088
4502    0.33828    0.01211
4504    0.36449    0.01298
4506    0.41302    0.00929
4508    0.46804    0.00945
4510    0.51358    0.01032
4512    0.54876    0.00906
4514    0.58672    0.01150
4516    0.63476    0.01387
4518    0.68570    0.01229
4520    0.72660    0.01399
4522    0.74088    0.01317
4524    0.70912    0.01245
4526    0.62912    0.01333
4528    0.53141    0.01196
4530    0.45807    0.01406
4532    0.42734    0.01353
4534    0.42496    0.01012
4536    0.42626    0.01094
4538    0.42237    0.01029
4540    0.42211    0.00933
4542    0.43252    0.01027
4544    0.45238    0.01056
4546    0.48654    0.01110
4548    0.54456    0.01102
4550    0.61846    0.01075
4552    0.68292    0.01137
4554    0.72127    0.01130
4556    0.73163    0.01180
4558    0.71077    0.01096
4560    0.65640    0.01015
4562    0.58325    0.01084
4564    0.51673    0.01258
4566    0.47097    0.01108
4568    0.44368    0.00989
4570    0.42789    0.00902
4572    0.42024    0.00958
4574    0.42126    0.00959
4576    0.43536    0.00843
4578    0.47228    0.00905
4580    0.54162    0.01070
4582    0.63630    0.01235
4584    0.72086    0.01225
4586    0.74951    0.01225
4588    0.70472    0.01148
4590    0.61155    0.01160
4592    0.50955    0.01062
4594    0.42029    0.00856
4596    0.34497    0.00789
4598    0.28006    0.00980
4600    0.22550    0.01108
4602    0.18265    0.01071
4604    0.15165    0.00954
4606    0.13188    0.00747
4608    0.12367    0.00732
4610    0.12979    0.00714
4612    0.15532    0.00799
4614    0.20357    0.00907
4616    0.26897    0.01178
4618    0.33422    0.01099
4620    0.37961    0.00864
4622    0.40100    0.01151
4624    0.42024    0.01199
4626    0.47013    0.01210
4628    0.55868    0.01125
4630    0.64964    0.01195
4632    0.69012    0.01126
4634    0.65748    0.01026
4636    0.57053    0.01162
4638    0.46263    0.01766
4640    0.35908    0.02759
4642    0.27507    0.03819
4644    0.21806    0.04021
4646    0.18785    0.03478
4648    0.17921    0.02659
4650    0.18627    0.02335
4652    0.20417    0.02150
4654    0.22874    0.01750
4656    0.25610    0.01451
4658    0.28271    0.01251
4660    0.30576    0.01259
4662    0.32416    0.00877
4664    0.33971    0.00968
4666    0.35586    0.01246
4668    0.37186    0.01475
4670    0.37743    0.01666
4672    0.35764    0.01931
4674    0.30758    0.01893
4676    0.23994    0.01521
4678    0.17495    0.01305
4680    0.12498    0.01037
4682    0.09071    0.00941
4684    0.06786    0.00832
4686    0.05299    0.00705
4688    0.04433    0.00649
4690    0.04103    0.00669
4692    0.04305    0.00611
4694    0.05121    0.00768
4696    0.06606    0.01181
4698    0.08651    0.01508
4700    0.10906    0.01698
4702    0.12803    0.01553
4704    0.13763    0.01327
4706    0.13582    0.01170
4708    0.12647    0.01044
4710    0.11646    0.01101
4712    0.11006    0.01153
4714    0.10689    0.01084
4716    0.10436    0.00953
4718    0.10052    0.00875
4720    0.09501    0.00893
4722    0.08904    0.00857
4724    0.08578    0.00710
4726    0.09019    0.00674
4728    0.10585    0.00705
4730    0.12916    0.00723
4732    0.14753    0.00861
4734    0.14740    0.00874
4736    0.12619    0.00925
4738    0.09418    0.00740
4740    0.06425    0.00568
4742    0.04230    0.00419
4744    0.02736    0.00345
4746    0.01696    0.00282
4748    0.00980    0.00209
4750    0.00531    0.00125
4752    0.00280    0.00074
4754    0.00151    0.00052
4756    0.00084    0.00057
4758    0.00047    0.00084
4760    0.00026    0.00136
4762    0.00016    0.00219
4764    0.00012    0.00293
4766    0.00015    0.00321
4768    0.00026    0.00292
4770    0.00051    0.00330
4772    0.00088    0.00379
4774    0.00128    0.00382
4776    0.00153    0.00449
4778    0.00151    0.00443
4780    0.00123    0.00400
4782    0.00088    0.00287
4784    0.00059    0.00234
4786    0.00042    0.00160
4788    0.00039    0.00119
4790    0.00055    0.00098
4792    0.00105    0.00095
4794    0.00229    0.00131
4796    0.00499    0.00209
4798    0.01004    0.00360
4800    0.01753    0.00587
4802    0.02573    0.00825
4804    0.03181    0.00961
4806    0.03465    0.00960
4808    0.03716    0.00857
4810    0.04479    0.00719
4812    0.06035    0.00868
4814    0.08044    0.01000
4816    0.09862    0.01174
4818    0.11362    0.01425
4820    0.13206    0.01799
4822    0.15910    0.02287
4824    0.18663    0.02964
4826    0.19633    0.03459
4828    0.17721    0.03375
4830    0.13690    0.02893
4832    0.09344    0.02269
4834    0.05948    0.01507
4836    0.03677    0.01168
4838    0.02182    0.01010
4840    0.01184    0.00848
4842    0.00566    0.00573
4844    0.00243    0.00324
4846    0.00114    0.00152
4848    0.00087    0.00094
4850    0.00107    0.00104
4852    0.00150    0.00136
4854    0.00207    0.00186
4856    0.00276    0.00265
4858    0.00358    0.00354
4860    0.00460    0.00544
4862    0.00602    0.00745
4864    0.00826    0.00998
4866    0.01232    0.01312
4868    0.02040    0.01685
4870    0.03647    0.02431
4872    0.06465    0.03572
4874    0.10419    0.05236
4876    0.14499    0.07280
4878    0.17109    0.08777
4880    0.17299    0.09228
4882    0.15702    0.08980
4884    0.14073    0.08297
4886    0.13825    0.07379
4888    0.14992    0.06752
4890    0.16450    0.06660
4892    0.17066    0.06360
4894    0.16721    0.05408
4896    0.16198    0.04636
4898    0.16112    0.03715
4900    0.16235    0.02571
4902    0.16021    0.02167
4904    0.15454    0.02082
4906    0.15075    0.01764
4908    0.15309    0.01470
4910    0.16041    0.01152
4912    0.16831    0.01164
4914    0.17579    0.01113
4916    0.19215    0.00979
4918    0.23699    0.00964
4920    0.32662    0.00938
4922    0.45130    0.00827
4924    0.56557    0.00952
4926    0.61218    0.01073
4928    0.56598    0.00893
4930    0.45327    0.01439
4932    0.32563    0.01924
4934    0.21999    0.01843
4936    0.14499    0.01743
4938    0.09464    0.01711
4940    0.06344    0.01486
4942    0.04959    0.01203
4944    0.05088    0.00912
4946    0.06120    0.00881
4948    0.07105    0.01037
4950    0.07220    0.01048
4952    0.06273    0.00925
4954    0.04729    0.00760
4956    0.03223    0.00567
4958    0.02092    0.00414
4960    0.01340    0.00319
4962    0.00859    0.00272
4964    0.00602    0.00230
4966    0.00592    0.00222
4968    0.00875    0.00267
4970    0.01446    0.00416
4972    0.02165    0.00593
4974    0.02755    0.00762
4976    0.02965    0.00799
4978    0.02774    0.00696
4980    0.02433    0.00600
4982    0.02307    0.00465
4984    0.02764    0.00450
4986    0.04241    0.00518
4988    0.07253    0.00630
4990    0.11971    0.00840
4992    0.17533    0.01224
4994    0.21987    0.01449
4996    0.23463    0.01749
4998    0.21712    0.01661
5000    0.18321    0.01526
5002    0.15332    0.01818
5004    0.13797    0.02387
5006    0.13617    0.02846
5008    0.14440    0.02886
5010    0.16566    0.02489
5012    0.21129    0.02090
5014    0.29316    0.02040
5016    0.40795    0.01915
5018    0.52553    0.01648
5020    0.59911    0.01350
5022    0.59681    0.01038
5024    0.52633    0.00944
5026    0.42571    0.00951
5028    0.33143    0.01160
5030    0.25798    0.01250
5032    0.20255    0.01327
5034    0.15950    0.01240
5036    0.12744    0.01342
5038    0.10756    0.01448
5040    0.09982    0.01456
5042    0.10038    0.01617
5044    0.10195    0.01625
5046    0.09740    0.01739
5048    0.08442    0.01498
5050    0.06662    0.01175
5052    0.04989    0.00879
5054    0.03806    0.00798
5056    0.03168    0.00857
5058    0.02933    0.01067
5060    0.02895    0.01299
