runName,DataFile,LineFile,redshift,N_Fits,ContiWindows,LineWindows,useBalmer,useFe,Fe_uv,Fe_opt,lineShift,smoothStddev,clipStddev,clipBoxWidth,clipBufferWidth,plotWindow,lineComplexInd
g2047337-361358_WiFeS,data/g2047337-361358_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.093863,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2047337-361358_6dFGS,data/g2047337-361358_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.093863,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1705004-013229_WiFeS,data/g1705004-013229_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.030162,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1705004-013229_6dFGS,data/g1705004-013229_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.030162,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0629569-265832_WiFeS,data/g0629569-265832_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.072372,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0629569-265832_6dFGS,data/g0629569-265832_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.072372,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2125407-490938_WiFeS,data/g2125407-490938_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.074351,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2125407-490938_6dFGS,data/g2125407-490938_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.074351,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0843268-095121_WiFeS,data/g0843268-095121_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.040878,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0843268-095121_6dFGS,data/g0843268-095121_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.040878,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1904203-410303_WiFeS,data/g1904203-410303_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.067543,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1904203-410303_6dFGS,data/g1904203-410303_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.067543,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1240470-333412_WiFeS,data/g1240470-333412_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.055109,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1240470-333412_6dFGS,data/g1240470-333412_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.055109,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1323403-012749_WiFeS,data/g1323403-012749_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.076842,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1323403-012749_6dFGS,data/g1323403-012749_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.076842,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2205311-373711_WiFeS,data/g2205311-373711_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.05649,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2205311-373711_6dFGS,data/g2205311-373711_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.05649,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0827341-021247_WiFeS,data/g0827341-021247_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.03941,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0827341-021247_6dFGS,data/g0827341-021247_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.03941,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0854552-242338_WiFeS,data/g0854552-242338_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.09096,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0854552-242338_6dFGS,data/g0854552-242338_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.09096,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1447187-380222_WiFeS,data/g1447187-380222_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.063776,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1447187-380222_6dFGS,data/g1447187-380222_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.063776,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1849421-551310_WiFeS,data/g1849421-551310_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.050114,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1849421-551310_6dFGS,data/g1849421-551310_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.050114,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2005530-413442_WiFeS,data/g2005530-413442_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.079624,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2005530-413442_6dFGS,data/g2005530-413442_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.079624,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1047457-375932_WiFeS,data/g1047457-375932_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.075487,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1047457-375932_6dFGS,data/g1047457-375932_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.075487,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1856494-544230_WiFeS,data/g1856494-544230_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.056432,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1856494-544230_6dFGS,data/g1856494-544230_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.056432,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2039248-190223_WiFeS,data/g2039248-190223_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.091132,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2039248-190223_6dFGS,data/g2039248-190223_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.091132,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1229419-315410_WiFeS,data/g1229419-315410_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.054349,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1229419-315410_6dFGS,data/g1229419-315410_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.054349,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2137428-470035_WiFeS,data/g2137428-470035_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.088305,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2137428-470035_6dFGS,data/g2137428-470035_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.088305,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0936221-113436_WiFeS,data/g0936221-113436_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.091285,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0936221-113436_6dFGS,data/g0936221-113436_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.091285,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1343431-395032_WiFeS,data/g1343431-395032_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.056538,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1343431-395032_6dFGS,data/g1343431-395032_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.056538,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1930100-223921_WiFeS,data/g1930100-223921_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.047258,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1930100-223921_6dFGS,data/g1930100-223921_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.047258,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0400407-370506_WiFeS,data/g0400407-370506_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.051293,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0400407-370506_6dFGS,data/g0400407-370506_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.051293,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1039463-052860_WiFeS,data/g1039463-052860_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.020401,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1039463-052860_6dFGS,data/g1039463-052860_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.020401,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1236333-365220_WiFeS,data/g1236333-365220_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.088605,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1236333-365220_6dFGS,data/g1236333-365220_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.088605,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0843148-702344_WiFeS,data/g0843148-702344_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.081506,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0843148-702344_6dFGS,data/g0843148-702344_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.081506,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0801368-063610_WiFeS,data/g0801368-063610_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.086148,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g0801368-063610_6dFGS,data/g0801368-063610_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.086148,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2027244-411548_WiFeS,data/g2027244-411548_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.065052,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2027244-411548_6dFGS,data/g2027244-411548_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.065052,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1313057-021039_WiFeS,data/g1313057-021039_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.084158,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1313057-021039_6dFGS,data/g1313057-021039_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.084158,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
