runName,DataFile,LineFile,redshift,N_Fits,ContiWindows,LineWindows,useBalmer,useFe,Fe_uv,Fe_opt,lineShift,smoothStddev,clipStddev,clipBoxWidth,clipBufferWidth,plotWindow,lineComplexInd
g1031573-184633_WiFeS,data/g1031573-184633_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.040415,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1031573-184633_6dFGS,data/g1031573-184633_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.040415,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1110588-744628_WiFeS,data/g1110588-744628_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.041562,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1110588-744628_6dFGS,data/g1110588-744628_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.041562,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1321353-001306_WiFeS,data/g1321353-001306_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.082221,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1321353-001306_6dFGS,data/g1321353-001306_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.082221,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1628484-030408_WiFeS,data/g1628484-030408_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.092894,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1628484-030408_6dFGS,data/g1628484-030408_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.092894,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1926311-191703_WiFeS,data/g1926311-191703_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.083398,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1926311-191703_6dFGS,data/g1926311-191703_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.083398,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1824306-511224_WiFeS,data/g1824306-511224_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.078549,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1824306-511224_6dFGS,data/g1824306-511224_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.078549,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1410487-364412_WiFeS,data/g1410487-364412_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.062627,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g1410487-364412_6dFGS,data/g1410487-364412_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.062627,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2039272-301852_WiFeS,data/g2039272-301852_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.079091,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2039272-301852_6dFGS,data/g2039272-301852_6dFGS.csv,Lines/Lines_Hbeta_OIII.csv,0.079091,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
g2047337-361358_WiFeS,data/g2047337-361358_WiFeS.csv,Lines/Lines_Hbeta_OIII.csv,0.093863,20,4175-4225 | 4500-4600 | 5650-5750 | 6150-6250,4811-5057,0,1,0,0,0,0,0,50,3,4550-5150,0
