Wavelength,Flux,eFlux
1801.9,2.07712908520955E-14,1.56770180591728E-13
1803.1,6.42848709583101E-14,1.24324514589185E-13
1804.3,4.45748869380735E-14,1.18563134644808E-13
1805.5,2.46526415514651E-14,1.13408215747207E-13
1806.7,4.00264290872497E-14,1.16743751504478E-13
1807.9,1.55557258498175E-14,1.64957404723211E-13
1809.1,5.30653415929446E-14,1.01885455858454E-13
1810.3,3.39618186194846E-14,9.82466895777947E-14
1811.5,5.54911857800507E-14,9.43046927737473E-14
1812.7,2.79578542563971E-14,1.0249191690523E-13
1814,2.35913347196062E-14,9.49111538205239E-14
1815.2,4.12393511808027E-14,8.42980855019349E-14
1816.4,2.99894987630984E-14,3.18392049557668E-15
1817.6,3.03230523388255E-14,2.35610116672674E-15
1818.8,3.18392049557668E-14,2.47132876561428E-15
1820,3.15359744323785E-14,2.42887649233992E-15
1821.2,3.00501448677761E-14,2.32274580915403E-15
1822.4,2.94740068733384E-14,2.27119662017803E-15
1823.7,2.93527146639831E-14,2.26513200971027E-15
1824.9,2.96862682397102E-14,2.28635814634744E-15
1826.1,2.97772373967267E-14,2.29242275681521E-15
1827.3,3.03230523388255E-14,2.33790733532345E-15
1828.5,3.06262828622138E-14,2.35003655625898E-15
1829.7,3.03230523388255E-14,2.32577811438792E-15
1831,2.98682065537431E-14,2.28939045158133E-15
1832.2,3.0232083181809E-14,2.31668119868627E-15
1833.4,2.9898529606082E-14,2.28635814634744E-15
1834.6,3.02624062341479E-14,2.31971350392015E-15
1835.9,3.2142435479155E-14,2.4501026289771E-15
1837.1,3.0929513385602E-14,2.36823038766227E-15
1838.3,2.89888380359172E-14,2.21055051550038E-15
1839.5,2.9534652978016E-14,2.25300278877474E-15
1840.8,2.97772373967267E-14,2.26816431494415E-15
1842,2.80791464657524E-14,2.1377751898872E-15
1843.2,2.92920685593054E-14,2.22571204166979E-15
1844.4,3.03230523388255E-14,2.3106165882185E-15
1845.7,3.03230523388255E-14,2.30758428298462E-15
1846.9,3.00804679201149E-14,2.27422892541191E-15
1848.1,2.98075604490655E-14,2.25603509400862E-15
1849.4,3.06262828622138E-14,2.3106165882185E-15
1850.6,3.02017601294702E-14,2.28635814634744E-15
1851.8,2.98378835014043E-14,2.24997048354085E-15
1853.1,2.97772373967267E-14,2.24693817830697E-15
1854.3,3.0929513385602E-14,2.31971350392015E-15
1855.5,2.96559451873714E-14,2.23480895737144E-15
1856.8,3.06262828622138E-14,2.29545506204909E-15
1858,3.0929513385602E-14,2.32577811438792E-15
1859.3,3.06262828622138E-14,2.30758428298462E-15
1860.5,2.9898529606082E-14,2.24087356783921E-15
1861.7,2.94740068733384E-14,2.20448590503261E-15
1863,3.03230523388255E-14,2.27119662017803E-15
1864.2,3.06262828622138E-14,2.28635814634744E-15
1865.5,3.00198218154373E-14,2.23784126260532E-15
1866.7,2.88675458265619E-14,2.15293671605661E-15
1868,3.01714370771314E-14,2.24693817830697E-15
1869.2,3.06262828622138E-14,2.28029353587968E-15
1870.4,3.03230523388255E-14,2.24997048354085E-15
1871.7,2.91404532976113E-14,2.15900132652438E-15
1872.9,2.77455928900253E-14,2.04377372763684E-15
1874.2,2.74423623666371E-14,2.03164450670131E-15
1875.4,2.87159305648678E-14,2.1195813584839E-15
1876.7,2.8321730884463E-14,2.09532291661284E-15
1877.9,2.85946383555125E-14,2.10745213754837E-15
1879.2,2.95952990826937E-14,2.17113054745991E-15
1880.4,3.0929513385602E-14,2.25603509400862E-15
1881.7,3.03230523388255E-14,2.22874434690368E-15
1883,3.0929513385602E-14,2.25603509400862E-15
1884.2,3.15359744323785E-14,2.31668119868627E-15
1885.5,3.24456660025433E-14,2.36519808242839E-15
1886.7,3.2142435479155E-14,2.34397194579121E-15
1888,3.15359744323785E-14,2.29545506204909E-15
1889.2,3.24456660025433E-14,2.37126269289616E-15
1890.5,3.39618186194846E-14,2.4501026289771E-15
1891.8,3.42650491428728E-14,2.48952259701757E-15
1893,3.39618186194846E-14,2.4682964603804E-15
1894.3,3.27488965259316E-14,2.37126269289616E-15
1895.5,3.24456660025433E-14,2.33790733532345E-15
1896.8,3.33553575727081E-14,2.42887649233992E-15
1898.1,3.45682796662611E-14,2.48042568131593E-15
1899.3,3.48715101896493E-14,2.47739337608204E-15
1900.6,3.45682796662611E-14,2.44403801850934E-15
1901.9,3.60844322832024E-14,2.56836253309852E-15
1903.1,3.60844322832024E-14,2.54107178599358E-15
1904.4,3.48715101896493E-14,2.47739337608204E-15
1905.7,3.51747407130376E-14,2.47436107084816E-15
1907,3.57812017598141E-14,2.51681334412252E-15
1908.2,3.51747407130376E-14,2.47436107084816E-15
1909.5,3.51747407130376E-14,2.47739337608204E-15
1910.8,3.54779712364258E-14,2.51378103888864E-15
1912,3.51747407130376E-14,2.47132876561428E-15
1913.3,3.45682796662611E-14,2.41068266093663E-15
1914.6,3.36585880960963E-14,2.37429499813004E-15
1915.9,3.39618186194846E-14,2.37126269289616E-15
1917.2,3.12327439089903E-14,2.20145359979873E-15
1918.4,3.03230523388255E-14,2.13171057941943E-15
1919.7,3.02017601294702E-14,2.11654905325002E-15
1921,3.06262828622138E-14,2.12564596895167E-15
1922.3,3.02624062341479E-14,2.12867827418555E-15
1923.6,3.06262828622138E-14,2.12867827418555E-15
1924.8,2.8321730884463E-14,1.97099840202366E-15
1926.1,2.85339922508348E-14,1.96493379155589E-15
1927.4,2.77759159423642E-14,1.93461073921707E-15
1928.7,2.74120393142983E-14,1.89519077117659E-15
1930,2.73817162619594E-14,1.88002924500718E-15
1931.3,2.77759159423642E-14,1.8769969397733E-15
1932.6,2.77152698376865E-14,1.91035229734601E-15
1933.8,2.83823769891407E-14,1.93157843398318E-15
1935.1,2.7806238994703E-14,1.90125538164436E-15
1936.4,2.75939776283312E-14,1.86790002407165E-15
1937.7,2.7290747104943E-14,1.86790002407165E-15
1939,2.659331690115E-14,1.81028622462788E-15
1940.3,2.52287795459028E-14,1.71628476237752E-15
1941.6,2.59868558543735E-14,1.755704730418E-15
1942.9,2.61384711160676E-14,1.78906008799071E-15
1944.2,2.65629938488111E-14,1.79512469845847E-15
1945.5,2.60475019590511E-14,1.77389856182129E-15
1946.8,2.71997779479265E-14,1.82241544556341E-15
1948.1,2.61081480637288E-14,1.77693086705518E-15
1949.4,2.62900863777617E-14,1.76176934088576E-15
1950.7,2.59565328020346E-14,1.75873703565188E-15
1952,2.68662243721994E-14,1.79815700369235E-15
1953.3,2.762430068067E-14,1.80422161416012E-15
1954.6,2.71997779479265E-14,1.77389856182129E-15
1955.9,2.68055782675218E-14,1.74357550948247E-15
1957.2,2.64417016394558E-14,1.7375108990147E-15
1958.5,2.61081480637288E-14,1.70112323620811E-15
1959.8,2.52287795459028E-14,1.67080018386929E-15
1961.1,2.55926561739687E-14,1.64957404723211E-15
1962.4,2.48042568131593E-14,1.63138021582881E-15
1963.7,2.4682964603804E-14,1.62834791059493E-15
1965,2.40765035570275E-14,1.58589563732057E-15
1966.3,2.47436107084816E-14,1.58589563732057E-15
1967.7,2.47739337608204E-14,1.61318638442552E-15
1969,2.50468412318699E-14,1.61015407919163E-15
1970.3,2.41371496617051E-14,1.57376641638504E-15
1971.6,2.43190879757381E-14,1.56770180591728E-15
1972.9,2.44100571327545E-14,1.57073411115116E-15
1974.2,2.48952259701757E-14,1.57376641638504E-15
1975.5,2.45313493421098E-14,1.5646695006834E-15
1976.9,2.47739337608204E-14,1.60712177395775E-15
1978.2,2.55016870169523E-14,1.63441252106269E-15
1979.5,2.46526415514651E-14,1.57983102685281E-15
1980.8,2.43797340804157E-14,1.4949264803041E-15
1982.1,2.40158574523498E-14,1.51615261694128E-15
1983.5,2.44403801850934E-14,1.53434644834457E-15
1984.8,2.4682964603804E-14,1.52524953264292E-15
1986.1,2.41674727140439E-14,1.49189417507022E-15
1987.4,2.35913347196062E-14,1.47976495413469E-15
1988.8,2.41977957663828E-14,1.48886186983633E-15
1990.1,2.3803596085978E-14,1.44944190179586E-15
1991.4,2.40765035570275E-14,1.45853881749751E-15
1992.7,2.55016870169523E-14,1.5464756692801E-15
1994.1,2.5016518179531E-14,1.54041105881234E-15
1995.4,2.49255490225146E-14,1.50402339600575E-15
1996.7,2.49558720748534E-14,1.50705570123963E-15
1998.1,2.58352405926793E-14,1.53131414311069E-15
1999.4,2.44707032374322E-14,1.49189417507022E-15
2000.7,2.57745944880017E-14,1.53434644834457E-15
2002.1,2.48345798654981E-14,1.50099109077186E-15
2003.4,2.52287795459028E-14,1.49795878553798E-15
2004.7,2.3985534400011E-14,1.46460342796527E-15
2006.1,2.46526415514651E-14,1.44944190179586E-15
2007.4,2.49861951271922E-14,1.44640959656198E-15
2008.7,2.41977957663828E-14,1.41608654422315E-15
2010.1,2.37732730336392E-14,1.3736342709488E-15
2011.4,2.32577811438792E-14,1.35240813431162E-15
2012.8,2.41068266093663E-14,1.36453735524715E-15
2014.1,2.39248882953333E-14,1.37666657618268E-15
2015.4,2.36823038766227E-14,1.3736342709488E-15
2016.8,2.39248882953333E-14,1.36453735524715E-15
2018.1,2.36519808242839E-14,1.36150505001327E-15
2019.5,2.40158574523498E-14,1.35240813431162E-15
